;weight
female;0.0
east;-0.0
mailOrder;-0.0
monthlyIncome;0.017141855425683
age;0.0
relocation;-0.0
request;-0.06798796407164877
banking_connection;0.0
business_relation;-0.0
conditions;0.0
credit_card;-0.0
giro;-0.0
global_credit;0.0
identity;0.0
secured_loan;0.0
solvency;-0.0
telecom;-0.04433694862605548
unsecured_loan;0.0
Banken_req;-0.0
finance_year;-0.0
credit_days;0.0
credit_card_days;0.26807855350253706
giro_days;0.18087826929437528
age_**2;-0.0
relocation_**2;0.0
request_**2;-0.0
banking_connection_**2;-0.0
business_relation_**2;0.0
conditions_**2;0.0
credit_card_**2;-0.09219432181558437
giro_**2;-0.0
global_credit_**2;0.0
identity_**2;-0.016181970018897367
secured_loan_**2;-0.0
solvency_**2;-0.0591120632180225
telecom_**2;-0.0
unsecured_loan_**2;-0.0
Banken_req_**2;0.0
finance_year_**2;0.0
credit_days_**2;-0.0
credit_card_days_**2;-0.0
giro_days_**2;-0.0
age_**3;-0.10590202848858003
relocation_**3;0.0
request_**3;0.003624175527540363
banking_connection_**3;-0.0
business_relation_**3;0.018052886835279374
conditions_**3;0.0008936924917705411
credit_card_**3;-0.0
giro_**3;-0.03596589762065324
global_credit_**3;0.0
identity_**3;-0.022013370092297667
secured_loan_**3;-0.04071740784791355
solvency_**3;-0.0
telecom_**3;-0.0006307497066151567
unsecured_loan_**3;-0.06992307090731904
Banken_req_**3;0.008063880565200014
finance_year_**3;0.00790009028303846
credit_days_**3;-0.04390841516359004
credit_card_days_**3;-0.06757204151133733
giro_days_**3;-0.06644422405914172
age_log2;0.3784844780835748
relocation_log2;-0.11334374547609943
request_log2;-0.0
banking_connection_log2;0.0
business_relation_log2;-0.03491463745803032
conditions_log2;-0.024366428414669617
credit_card_log2;-0.0
giro_log2;-0.023702057635840316
global_credit_log2;0.008756410681117568
identity_log2;0.020566205733898626
secured_loan_log2;0.17909571506205893
solvency_log2;-0.267814538008366
telecom_log2;-0.0
unsecured_loan_log2;0.005462948759341565
Banken_req_log2;-0.0
finance_year_log2;-0.16094668149426125
credit_days_log2;0.03454988455726271
credit_card_days_log2;0.09012566127460232
giro_days_log2;-0.0
