;weight
female;0.27610597337574155
east;0.02702484192136355
mailOrder;-0.06970799186578765
monthlyIncome;0.010597307730559627
age;-0.0
relocation;-0.0
request;0.0
banking_connection;-0.013938943010103417
business_relation;-0.019308291213365344
conditions;-0.0
credit_card;0.015741998229985548
giro;0.009224535482123531
global_credit;0.0
identity;0.0
secured_loan;0.0
solvency;-0.0
telecom;-0.0
unsecured_loan;0.0
Versandhandel_req;-0.0
finance_year;0.0
credit_days;-0.00998889167772798
credit_card_days;0.28424484551825935
giro_days;0.011106653499617085
age_**2;-0.0
relocation_**2;-0.10412987543656578
request_**2;-0.0
banking_connection_**2;-0.0
business_relation_**2;-0.0
conditions_**2;0.0
credit_card_**2;0.015349234520706734
giro_**2;0.0
global_credit_**2;0.0
identity_**2;-0.0
secured_loan_**2;-0.0
solvency_**2;0.0
telecom_**2;-0.0
unsecured_loan_**2;0.0
Versandhandel_req_**2;0.029940455212042444
finance_year_**2;0.0391918789869273
credit_days_**2;-0.06084253586935254
credit_card_days_**2;-0.0
giro_days_**2;0.0
age_**3;-0.1438040896430088
relocation_**3;-0.0
request_**3;-0.01156060774099588
banking_connection_**3;-0.0
business_relation_**3;-0.0
conditions_**3;0.002716441745403895
credit_card_**3;0.0
giro_**3;0.0
global_credit_**3;-0.0
identity_**3;-0.029863768334675612
secured_loan_**3;-0.007403918039009942
solvency_**3;0.010509677941094609
telecom_**3;-0.005365275650912876
unsecured_loan_**3;0.002346362837606254
Versandhandel_req_**3;0.027859019333507692
finance_year_**3;0.0
credit_days_**3;-0.0
credit_card_days_**3;-0.15197941923521588
giro_days_**3;-0.0
age_log2;0.4566862502742088
relocation_log2;0.00140707459747552
request_log2;-0.02238792133096056
banking_connection_log2;-0.0
business_relation_log2;-0.01880452565538617
conditions_log2;-0.04049442629844729
credit_card_log2;0.0
giro_log2;0.005884350506192553
global_credit_log2;0.008065953100097558
identity_log2;0.030445060551058327
secured_loan_log2;0.043723081860597666
solvency_log2;-0.3302042747029883
telecom_log2;-0.011642911703444107
unsecured_loan_log2;0.0
Versandhandel_req_log2;-0.12295927211993533
finance_year_log2;-0.17174693951777154
credit_days_log2;-0.0
credit_card_days_log2;0.1866176429884507
giro_days_log2;0.0
