;Feature;Lengthscale;Weight;Relevance Ratio
4;age;7.928792516789677;0.015906912550685832;38.03855334346265
21;credit_card_days;15.43127220976192;0.004199489844086338;19.544713682670807
15;solvency;20.40010669311577;0.0024028968184656636;14.784226457057189
11;giro;21.59753293747589;0.002143836743091869;13.964548542292889
22;giro_days;28.80275100244858;0.00120540242275818;10.471214956984905
5;relocation;39.72234557823596;0.0006337678862875523;7.592698585865972
18;Banken_req;41.686190518002896;0.000575460583721254;7.235005006487714
9;conditions;44.4392283588374;0.0005063688498725012;6.786791945706097
17;unsecured_loan;53.86689153875643;0.00034463245245446424;5.5989827607214915
12;global_credit;67.32304974558708;0.00022063399930953863;4.479889105423673
8;business_relation;76.83851987285054;0.00016937215720225777;3.925112008901622
16;telecom;105.73856496806127;8.944028529417141e-05;2.8523159661780064
2;mailOrder;295.52951478928986;1.1449809960889056e-05;1.020540358935688
20;credit_days;300.98696947879375;1.1038361465754797e-05;1.0020360603032719
6;request;301.34183043972644;1.1012379164080911e-05;1.0008560599072778
7;banking_connection;301.4061079540343;1.1007682690697339e-05;1.0006426185137125
23;noise_feat;301.5997970991516;1.0993548834792029e-05;1.0
19;finance_year;301.97287626961656;1.096640116174642e-05;0.9987645275460705
10;credit_card;302.0151339937367;1.0963332555690749e-05;0.9986247811853239
0;female;302.05829707404973;1.0960199535356162e-05;0.9984820811765824
14;secured_loan;302.1268612948972;1.095522551703382e-05;0.9982554871371363
1;east;302.1471782266833;1.0953752267555811e-05;0.9981883626028073
13;identity;302.1888326069798;1.0950732696568136e-05;0.9980507701004481
3;monthlyIncome;302.21324223322165;1.0948963796600421e-05;0.9979701579932866
