;Feature;Lengthscale;Weight;Relevance Ratio
4;age;5.540625572092396;0.032574847839341746;9.119542017128998
0;female;6.143645895591397;0.02649400706630383;8.224427085248228
10;credit_card;7.395073047451151;0.01828584623566569;6.832652954427733
2;mailOrder;7.823053502584649;0.016339824932757933;6.458854932946851
6;request;9.739470578119782;0.010542152639284028;5.187958349542085
22;giro_days;11.493313362515508;0.007570237493409188;4.3962925322012705
5;relocation;12.723072635120735;0.006177545984798002;3.9713651847273694
9;conditions;15.944538844946202;0.0039334721010626;3.1689826966611454
11;giro;16.042755935405143;0.0038854564636523945;3.1495815251022186
18;Versandhandel_req;19.06146095543956;0.0027522484278076605;2.6507919736056147
15;solvency;21.596172324918314;0.0021441068856928;2.3396723709032137
16;telecom;27.170374344100054;0.0013545927783797957;1.8596713856777596
17;unsecured_loan;33.31682058168881;0.0009008923516171727;1.5165903235570615
3;monthlyIncome;44.76902831738733;0.00049893579577178;1.128636684889853
13;identity;46.09968238555288;0.0004705482185341886;1.0960589117141268
14;secured_loan;46.246543786316295;0.00046756440012572797;1.0925782462651084
23;noise_feat;50.527967705876;0.00039168445742240426;1.0
19;finance_year;188.1978190794281;2.8233897086147736e-05;0.2684832797374282
21;credit_card_days;292.5177625564913;1.1686797372308609e-05;0.17273469913170827
8;business_relation;301.36954282309284;1.1010353974415364e-05;0.16766116188302563
12;global_credit;301.7646920377394;1.0981537586796668e-05;0.1674416160640717
20;credit_days;301.8616503216982;1.0974484156598258e-05;0.16738783363844872
1;east;301.9995107572321;1.0964466909633392e-05;0.167311422389998
7;banking_connection;302.0074394622516;1.0963891209360423e-05;0.16730702990577015
