;Feature;Lengthscale;Weight;Relevance Ratio
4;age;10.84013415021126;0.008510022071271182;27.88356016999507
10;credit_card;13.007156576608516;0.005910650276434379;23.23809443270696
22;giro_days;20.186776788187064;0.002453951856620846;14.973243920996444
11;giro;33.66898090504784;0.0008821451634150895;8.977448223950175
15;solvency;38.45781618499516;0.0006761308644621788;7.859560495433579
6;request;38.46443033495099;0.0006758983563296309;7.858209004946107
17;unsecured_loan;39.11589745296738;0.0006535719459673554;7.727332172083504
2;mailOrder;54.12941922622647;0.0003412976242290074;5.58405276001528
5;relocation;57.142403192459966;0.00030625486583880197;5.289618845924177
21;credit_card_days;61.03911663154767;0.0002684006235057983;4.951931638407953
9;conditions;81.89367336442623;0.0001491074338697316;3.6909021223553187
16;telecom;89.72371793686557;0.00012421827019665815;3.368803029773259
0;female;96.01714810390708;0.00010846819048766367;3.1479953195562014
8;business_relation;145.55514497435652;4.720031290099961e-05;2.0766118084076353
14;secured_loan;151.21706722803026;4.373190320620147e-05;1.9988585836837702
12;global_credit;177.39016100526888;3.1779052480268546e-05;1.7039362900136057
18;Banken_req;191.60826001307348;2.723776984454749e-05;1.577497404379178
1;east;217.2643509118318;2.1184735945343735e-05;1.3912155011150218
19;finance_year;302.1751934977069;1.0951721272823432e-05;1.0002857260701243
20;credit_days;302.17748172564166;1.0951555410433396e-05;1.0002781514430275
23;noise_feat;302.26153282823407;1.0945465569516613e-05;1.0
3;monthlyIncome;302.2850152969748;1.0943765077882829e-05;0.9999223167952348
7;banking_connection;302.28767410838583;1.0943572564049178e-05;0.9999135218456099
13;identity;302.3287748122244;1.0940597273579662e-05;0.9997775865561188
