;Feature;Lengthscale;Weight;Relevance Ratio
21;credit_card_days;5.695138750988145;0.03083126765018726;53.06833871564397
4;age;6.317403144469546;0.025056638972776466;47.841105808580764
15;solvency;9.286891957144181;0.011594691929227387;32.54388590550243
19;finance_year;16.570699529462704;0.003641818645056466;18.238913313988988
0;female;24.643405047588082;0.0016466396524689663;12.264196107899814
5;relocation;24.75088212948187;0.001632370118347654;12.21094063189073
18;Versandhandel_req;28.534084705247878;0.0012282085256382679;10.591948380052406
3;monthlyIncome;54.96227790834955;0.0003310324379872706;5.498890580445086
9;conditions;60.517701970519376;0.00027304557547339097;4.994101600507858
7;banking_connection;83.63821927864043;0.0001429520686650505;3.613557950859104
1;east;87.44941509596796;0.0001307633932794603;3.456072884402441
10;credit_card;90.76795253860503;0.00012137658710482312;3.3297165333930447
22;giro_days;99.07023570012687;0.0001018857877261946;3.050679653017534
13;identity;109.18122609457782;8.388881619182817e-05;2.768164116495829
8;business_relation;160.51184880360933;3.881376802264634e-05;1.8829236254067263
11;giro;301.7600183833807;1.0981877753189382e-05;1.0015626122014898
16;telecom;302.01416747512604;1.0963402726451239e-05;1.000719783435061
6;request;302.0271501612981;1.0962460219409968e-05;1.0006767673324106
20;credit_days;302.0736583765731;1.0959084849217572e-05;1.0005226999742507
2;mailOrder;302.07551204412596;1.095895035014794e-05;1.0005165603290598
17;unsecured_loan;302.10738487746255;1.0956638097021725e-05;1.000411004162034
14;secured_loan;302.1220047949363;1.0955577722295724e-05;1.0003625934998228
12;global_credit;302.15540044974654;1.0953156130806441e-05;1.0002520286586587
23;noise_feat;302.2315522700284;1.0947637198792164e-05;1.0
