;Feature;Lengthscale;Weight;Relevance Ratio
0;female;4.793669535592571;0.04351748788039447;27.014822181432933
4;age;5.399408135615864;0.03430107150465976;23.984134343608854
11;giro;9.612943790309426;0.01082149328409696;13.471433197303348
10;credit_card;9.623798297586404;0.010797096318916576;13.456239012517896
15;solvency;19.902533396447755;0.002524545935466667;6.506715879883861
6;request;21.176171962232907;0.0022300011651485104;6.115370159042213
18;Versandhandel_req;29.01825414528912;0.0011875651380093362;4.4627126584598065
21;credit_card_days;31.78464082839581;0.00098984087450322;4.074298992389195
14;secured_loan;36.891012641748176;0.000734782571889491;3.5103435993522996
16;telecom;41.427637613632136;0.0005826659813320734;3.1259356690416813
5;relocation;41.68923452260476;0.0005753765504818161;3.1063206504875467
8;business_relation;51.65448647786077;0.00037478646916293837;2.5070451558179663
19;finance_year;71.032699528254;0.0001981907404235356;1.8231058506945164
22;giro_days;85.81396212461081;0.00013579509755632513;1.5090799549907485
12;global_credit;92.26693307198279;0.00011746482336438058;1.403537819985356
17;unsecured_loan;122.1095480085557;6.706574489207473e-05;1.0605241949754163
23;noise_feat;129.5001301005855;5.962928344703127e-05;1.0
7;banking_connection;273.32840724616085;1.3385372411707985e-05;0.4737895025450357
9;conditions;301.9861447979772;1.0965437509534533e-05;0.4288280516552126
3;monthlyIncome;301.9985531273058;1.0964536445849226e-05;0.4288104322340758
20;credit_days;302.0062514592523;1.096397746692096e-05;0.42879950158269514
1;east;302.0248447513951;1.0962627576905527e-05;0.42877310377290506
13;identity;302.0966362157455;1.0957417789858182e-05;0.42867120840134615
2;mailOrder;302.10584379296665;1.095674988001773e-05;0.4286581433669056
