predictor,coefficient,pvalue,standard error,0.025,0.975,abs
credit_card_days_log2,0.377934120056532,1.59307199999747E-09,0.060978813935429,0.258007824748956,0.497860415364109,0.377934120056532
giro,-0.332431384128884,4.61457833532122E-06,0.071433477017401,-0.472918738781391,-0.191944029476377,0.332431384128884
female,0.297166135143726,0.015683006584973,0.122394743447562,0.056453874614513,0.53787839567294,0.297166135143726
age,0.269072993710126,9.98862475475479E-11,0.040353683227395,0.18970989332904,0.348436094091212,0.269072993710126
giro_days_log2,0.265355030290085,0.00022954612545,0.071287394185454,0.12515497497505,0.40555508560512,0.265355030290085
solvency,-0.250823074908312,3.03559112260853E-07,0.048037886522336,-0.345298604903532,-0.156347544913092,0.250823074908312
conditions_log2,-0.158059252590028,0.0025480114395,0.05200585509687,-0.260338538354336,-0.055779966825721,0.158059252590028
telecom_**2,-0.124576945033691,0.00287203141787,0.041497121207898,-0.20618883105139,-0.042965059015993,0.124576945033691
identity_**3,-0.119658800069694,0.004661181863328,0.04201996072763,-0.202298948242643,-0.037018651896745,0.119658800069694
secured_loan_log2,0.116541587326268,0.015126535774764,0.047738859711297,0.022654149741037,0.210429024911499,0.116541587326268
const,-0.109987006261378,0.332459521833767,0.11333014828719,-0.332872037202336,0.112898024679579,0.109987006261378
unsecured_loan_log2,-0.091369483470646,0.08120341015948,0.052248872078965,-0.194126707792276,0.011387740850984,0.091369483470646
credit_card_**2,-0.08975114049412,0.086242582489206,0.05217025522815,-0.192353750006792,0.012851469018553,0.08975114049412
mailOrder,0.072515486150147,0.52914886320691,0.115117326200739,-0.153884365962217,0.298915338262511,0.072515486150147
relocation,-0.044421698757739,0.294776281102518,0.042336393349404,-0.127684171137978,0.0388407736225,0.044421698757739
east,0.039250100171992,0.687116596813328,0.097370165705998,-0.152246626198749,0.230746826542732,0.039250100171992
business_relation,-0.03507937787815,0.395705268242432,0.041252867438242,-0.1162108929634,0.046052137207101,0.03507937787815
banking_connection_**3,0.031283688212119,0.479210680017086,0.044165835514458,-0.055576725931413,0.118144102355651,0.031283688212119
monthlyIncome,-0.025124314996928,0.566962047059721,0.043841720004319,-0.111347295089613,0.061098665095758,0.025124314996928
finance_year_**2,0.015577872915671,0.749921527309726,0.048834845540027,-0.08046502673362,0.111620772564961,0.015577872915671
global_credit,-0.007586280252105,0.846336125529157,0.039117157206581,-0.084517519874392,0.069344959370181,0.007586280252105
credit_days_**3,-0.002485843739251,0.955087458467904,0.044107154187389,-0.089230850027088,0.084259162548587,0.002485843739251
