predictor;coefficient;pvalue;standard error;0.025;0.975
const;0.039012936411233254;0.7414896192226093;0.11816743080723321;-0.1934159160601463;0.2714417888826128
credit_card_days;0.31798309249869317;2.969885525279602e-09;0.052176351130025736;0.2153550727774307;0.4206111122199556
solvency_log2;-0.25273691343611326;2.1774034416173024e-07;0.047764370949408864;-0.34668681023042386;-0.15878701664180267
giro_days;0.13449779358699387;0.006754570782624744;0.049350478335977624;0.03742811059408219;0.23156747657990556
secured_loan_log2;0.22052221276792852;2.90702782031634e-06;0.04635846374675372;0.1293376582981663;0.31170676723769075
finance_year_log2;-0.19412226934884774;0.000479180626351069;0.05505123523322818;-0.30240502835428407;-0.08583951034341145
relocation_log2;-0.16425452998207024;0.00014320046409425037;0.04270664644740999;-0.24825616020169605;-0.08025289976244444
credit_card_**2;-0.053344144575474775;0.28176335204448105;0.04948102888314904;-0.15067061333127627;0.043982324180326715
unsecured_loan_**3;-0.029245527937484986;0.531249414076084;0.046662978158886925;-0.12102904554700251;0.06253798967203254
telecom;-0.08191999188345694;0.07597997988232462;0.04602461536406747;-0.17244788490296076;0.008607901136046855
credit_days_**3;-0.030400566136297213;0.5015923842949643;0.045191717999525954;-0.11929019574138673;0.058489063468792304
giro_**3;-0.06887031499867513;0.12920015659303957;0.04528124490362168;-0.15793603911171947;0.020195409114369206
business_relation_log2;-0.07723260130220874;0.06682704864036257;0.04200364880494952;-0.15985147373306852;0.005386271128651018
conditions_log2;-0.06048303771496191;0.22925593233079908;0.05021684524810968;-0.15925681688590188;0.03829074145597805
identity_**3;-0.0838155536048488;0.08723227907039917;0.04886871697463638;-0.17993763843457233;0.012306531224874753
monthlyIncome;0.10924955049095139;0.01639828126869047;0.0452964636788644;0.020153891882069064;0.19834520909983372
global_credit_log2;0.06534594642245602;0.16106686501856443;0.046524641804907535;-0.026165471169392884;0.15685736401430492
banking_connection_**3;0.020073105682756956;0.6409108837268405;0.04299762117389682;-0.06450085585788938;0.10464706722340329
female;0.05625084596627364;0.6868126664728366;0.1393975855627191;-0.21793655599626857;0.3304382479288158
mailOrder;-0.040321957516280274;0.7432371325948469;0.12299443209256829;-0.2822452566551051;0.2016013416225445
east;0.04444108653458409;0.7006414505954323;0.11549786454685587;-0.18273687558353038;0.2716190486526986
