predictor;coefficient;pvalue;standard error;0.025;0.975
const;-0.05504251231819825;0.6643356188273566;0.12673862960285368;-0.30429784117264425;0.19421281653624772
credit_card_days_log2;0.40578996333925066;3.918530869817355e-07;0.07848571739877201;0.25143305288574247;0.5601468737927588
credit_card;-0.21021890515494396;0.008526652738865858;0.07947001600699802;-0.36651162376775726;-0.05392618654213069
solvency;-0.16908476036873074;0.0010400145107724323;0.05113084436302797;-0.2696431731135145;-0.06852634762394696
secured_loan_log2;0.18458693185122904;0.00021885012210079205;0.049423115338176345;0.0873870891100623;0.28178677459239576
telecom;-0.18734454520433155;0.00020300753220249372;0.04989933511278044;-0.28548096361226927;-0.08920812679639382
giro_days;0.2136140747389988;0.0001857623096778929;0.05654874182273771;0.1024003486359174;0.3248278008420802
relocation;-0.036212410008511345;0.4486842829035068;0.047745072157897334;-0.13011206553727833;0.057687245520255656
finance_year_log2;-0.17221265107737826;0.010513356221969365;0.0669521842414955;-0.30388670146699726;-0.040538600687759246
global_credit_log2;-0.06663796949381998;0.1606974811511688;0.04740635932728717;-0.15987148259824868;0.026595543610608743
giro_**2;-0.021073586605363084;0.7357526148684805;0.06239424258278525;-0.14378358830200477;0.10163641509127859
unsecured_loan;-0.035589643765946664;0.4976785073477026;0.05242662201364331;-0.138696446732705;0.06751715920081167
business_relation_log2;-0.038352371599551544;0.42142386131667264;0.04764925542666414;-0.13206358552272343;0.055358842323620344
identity_**2;-0.03990961730495641;0.4082668406971749;0.048203982659709065;-0.13471180656319706;0.05489257195328424
credit_days_**3;-0.03790064779164805;0.45946461087533885;0.051179895305021775;-0.13855552843036123;0.06275423284706513
monthlyIncome;0.06606515179969502;0.17870662323352185;0.04903083640593215;-0.030363200713388994;0.16249350431277904
conditions_log2;-0.018502372997008937;0.7588701637060581;0.06022866162076042;-0.13695335282682214;0.09994860683280427
banking_connection;-0.014192322572040299;0.7819628059124277;0.051240891163238524;-0.11496716302684283;0.08658251788276224
east;-0.004574613384206644;0.9704748949253719;0.12350846667603728;-0.24747721990687405;0.23832799313846076
female;0.06986467482565764;0.662456375051353;0.15991308475680702;-0.24463445345187698;0.3843638031031923
mailOrder;0.11017531223497719;0.4008391992960191;0.13098384548437264;-0.14742903131153157;0.3677796557814859
