predictor,coefficient,pvalue,standard error,0.025,0.975,abs
solvency_log2,-0.488949979165738,4.5669025696993E-51,0.029846490094239,-0.547552638954222,-0.430347319377254,0.488949979165738
credit_card_days,0.3469064717814,7.30940424710889E-24,0.033147846716363,0.281821700416115,0.411991243146685,0.3469064717814
age,0.189131073231161,9.29013044630504E-09,0.032519339660084,0.125280356023582,0.252981790438739,0.189131073231161
giro_days,0.150590282129332,3.4451216570354E-05,0.036114994699827,0.079679607508153,0.221500956750512,0.150590282129332
mailOrder,-0.135791030909229,0.059661572343046,0.071982349760136,-0.277126147381873,0.005544085563416,0.135791030909229
female,0.127709364335639,0.139590732539412,0.086345390827953,-0.041827138851745,0.297245867523023,0.127709364335639
const,0.100572910154789,0.150097802066475,0.069802655874883,-0.036482444818356,0.237628265127935,0.100572910154789
conditions_**2,-0.093539162263348,0.001149180327122,0.028647939144984,-0.149788504348591,-0.037289820178105,0.093539162263348
giro,-0.083787503924174,0.034861671380087,0.039630616516851,-0.161600993202539,-0.00597401464581,0.083787503924174
monthlyIncome,0.079503395127129,0.007287876228708,0.029538336874102,0.021505784651492,0.137501005602765,0.079503395127129
secured_loan_**2,-0.063521760668781,0.046458614336286,0.03184280383733,-0.126044120721787,-0.000999400615775,0.063521760668781
finance_year_**2,-0.045224550688369,0.17351370244656,0.033193965146817,-0.110399874164853,0.019950772788116,0.045224550688369
telecom_log2,-0.028936406545877,0.275978173924057,0.026540400667131,-0.081047662041414,0.02317484894966,0.028936406545877
credit_days_log2,0.01807903959304,0.60362080559185,0.034804609849355,-0.05025873492023,0.08641681410631,0.01807903959304
east,0.015313251659015,0.759027914007875,0.049899584428331,-0.082663038370634,0.113289541688665,0.015313251659015
relocation,-0.013738889904922,0.619481200619449,0.027653985645407,-0.068036635048703,0.040558855238859,0.013738889904922
credit_card_**2,0.011344142069324,0.730333197665228,0.032898299607827,-0.05325065126985,0.075938935408498,0.011344142069324
business_relation_**2,0.011114433709047,0.666453429619025,0.02577504651139,-0.039494072583319,0.061722940001413,0.011114433709047
banking_connection_**2,-0.007080809077187,0.776442404223407,0.024926160763713,-0.056022554470253,0.041860936315878,0.007080809077187
global_credit_**2,-0.006046277130341,0.846729360155358,0.031268379414629,-0.067440772603242,0.055348218342561,0.006046277130341
identity_**2,-0.005877674069887,0.824406059208823,0.026479891160212,-0.057870121020878,0.046114772881104,0.005877674069887
unsecured_loan_**3,0.003245849387984,0.91664283386116,0.031000682854487,-0.057623032172157,0.064114730948125,0.003245849387984
