predictor;coefficient;pvalue;standard error;0.025;0.975
const;0.10744355007554794;0.10437283119418714;0.06607064807570678;-0.022283781397678046;0.23717088154877392
age;0.1891404499359143;9.066224873413143e-09;0.03249762677031731;0.12533253336613215;0.25294836650569646
credit_card_days;0.3474108094862194;5.28024479588971e-24;0.033084991351620546;0.2824496237726709;0.41237199519976786
relocation;-0.013592698341182034;0.6229286541678953;0.027631432807910923;-0.06784601879968105;0.04066062211731698
solvency_log2;-0.4889721423279314;3.878520719012327e-51;0.029826487690289;-0.5475353737774941;-0.4304089108783688
female;0.12766689132817116;0.13945724347170999;0.0862876659772675;-0.04175582469328418;0.2970896073496265
finance_year_**2;-0.04546461405951053;0.170840285399166;0.03316260364762951;-0.11057818871344322;0.01964896059442215
mailOrder;-0.13485192461483053;0.061035958997209816;0.07186928572463887;-0.27596467170429484;0.006260822474633804
secured_loan_**2;-0.06352701609474089;0.04629449420135907;0.03182155210935923;-0.12600748448296048;-0.0010465477065213016
giro_days;0.15030195137207375;3.500861897167936e-05;0.03607868157096229;0.07946276302462198;0.22114113971952554
credit_card_**2;0.011366874841386255;0.7296398406866502;0.032876264858404364;-0.0531844839405167;0.0759182336232892
conditions_**2;-0.09336869513092352;0.0011617863800885528;0.028623441494050394;-0.14956978882003585;-0.03716760144181119
giro;-0.083403903872297;0.03548501752635333;0.03958446809422159;-0.161126577452951;-0.005681230291643011
unsecured_loan_**3;0.0034196054200630478;0.9121251802673298;0.03097483009365733;-0.05739835486817883;0.06423756570830493
identity_**2;-0.006153790354954176;0.8160766177039914;0.026446942122073634;-0.058081406127576785;0.04577382541766843
credit_days_log2;0.018069632168225172;0.6035672098814233;0.034781372965888846;-0.050222337583147605;0.08636160191959795
telecom_log2;-0.02897350624920382;0.2750378300702196;0.02652241641882267;-0.08104931307787376;0.02310230057946612
global_credit_**2;-0.006309487404038774;0.8399806234670018;0.031235757906552253;-0.067639770029958;0.055020795221880456
banking_connection_**2;-0.007004978339069587;0.7786191883350632;0.02490830476102954;-0.05591153521842173;0.04190157854028256
business_relation_**2;0.011302381546208419;0.6608608552735731;0.025750575734446248;-0.03925794397233589;0.06186270706475273
monthlyIncome;0.07960234249910011;0.007173663677009077;0.029516868774410048;0.02164703660953178;0.13755764838866846
