predictor,coefficient,pvalue,standard error,0.025,0.975,abs
solvency,-0.391990181492219,3.07250127405196E-40,0.027701587610597,-0.446376747255708,-0.337603615728729,0.391990181492219
female,0.368403666339101,2.33154046738505E-06,0.077375473145784,0.216492291515428,0.520315041162773,0.368403666339101
credit_card_days_log2,0.336855584253287,2.36319994206813E-24,0.031871671179677,0.274281887576686,0.399429280929887,0.336855584253287
age,0.321334105507748,2.52727778987512E-26,0.029070181786454,0.264260576881513,0.378407634133983,0.321334105507748
giro,-0.246591908298943,4.39881615468917E-09,0.041497973515298,-0.328064937836711,-0.165118878761175,0.246591908298943
giro_days_log2,0.240256161129177,6.40826199814967E-10,0.038342174027092,0.164978917147615,0.315533405110739,0.240256161129177
conditions_log2,-0.150941545170403,4.44431673279323E-08,0.02728397604905,-0.204508213570067,-0.097374876770739,0.150941545170403
credit_card_**2,-0.121423007489978,8.07908765010772E-05,0.030623293770687,-0.181545763050636,-0.06130025192932,0.121423007489978
secured_loan_log2,0.111054540375358,9.39608412279996E-05,0.028271934059638,0.05554821262946,0.166560868121256,0.111054540375358
relocation,-0.094252222448405,0.000213968563472,0.025328936557698,-0.143980559075851,-0.044523885820959,0.094252222448405
telecom_**2,-0.079760918398622,0.000360717642547,0.022251379731863,-0.123447083398507,-0.036074753398737,0.079760918398622
business_relation,-0.058888526086745,0.019424810930446,0.025138192088724,-0.108242373831038,-0.009534678342451,0.058888526086745
east,-0.051657905562123,0.268706718938362,0.046668573778844,-0.143282381840889,0.039966570716643,0.051657905562123
credit_days_**3,-0.049640088951974,0.097961532749054,0.029957944001259,-0.108456562378215,0.009176384474267,0.049640088951974
global_credit,-0.048690006404981,0.069209780551944,0.02675574223175,-0.101219592611129,0.003839579801167,0.048690006404981
mailOrder,-0.046083900702477,0.455537628094732,0.061723120661635,-0.167264989966386,0.075097188561433,0.046083900702477
unsecured_loan_log2,-0.044482296511258,0.102998592283722,0.027246554267064,-0.097975494673924,0.009010901651408,0.044482296511258
monthlyIncome,0.029545137430518,0.282673169096765,0.027480094026647,-0.024406569669308,0.083496844530343,0.029545137430518
const,0.022436082768959,0.712697104329936,0.06090421465656,-0.097137247187967,0.142009412725885,0.022436082768959
finance_year_**2,-0.010101909616019,0.742590457365202,0.030746700739052,-0.070466950250551,0.050263131018513,0.010101909616019
identity_**3,0.005152642740695,0.846444385571725,0.026597351681303,-0.047065975075868,0.057371260557259,0.005152642740695
banking_connection_**3,-0.002002909960723,0.934939451815597,0.024527209285207,-0.050157214310936,0.04615139438949,0.002002909960723
