predictor;coefficient;pvalue;standard error;0.025;0.975
const;0.006937914256390252;0.9095385503693509;0.061039410050164895;-0.11291013454404376;0.12678596305682427
age_log2;0.3763049659056822;8.092066258996553e-28;0.03291023545193499;0.31168724595662406;0.4409226858547403
credit_card_days_log2;0.4540520596558702;1.167260988121211e-22;0.04470871763751561;0.36626856750183157;0.5418355518099088
credit_card;-0.2574008513176451;1.4750021026964251e-08;0.0448904873092827;-0.3455412397862857;-0.16926046284900453
solvency;-0.277890935532615;2.776744580634919e-18;0.03097018958442254;-0.3386994654581518;-0.21708240560707817
secured_loan_log2;0.17165033004459385;5.610848017028204e-08;0.03125366761377383;0.11028520416461343;0.23301545592457426
telecom;-0.2148229807200875;5.210253496364923e-16;0.025853570584215793;-0.2655852667005069;-0.16406069473966803
giro_days;0.1184150152619106;0.0002735538254362078;0.03236926734530462;0.05485946108394418;0.18197056943987702
relocation;-0.060333222730091826;0.03100397232519909;0.02791257468464986;-0.11513826770353416;-0.005528177756649481
finance_year_log2;-0.06443225378440641;0.05177461422455211;0.03306890550762719;-0.12936151502395438;0.0004970074551415432
global_credit_log2;-0.0677464934420412;0.015508682461059848;0.027920753447831313;-0.12256759703741472;-0.012925389846667676
giro_**2;-0.046758448276496355;0.18008771703205734;0.03484592323233997;-0.11517680134729863;0.021659904794305913
unsecured_loan;-0.031112254951097186;0.25952862755511785;0.027570864112819175;-0.08524636707550427;0.0230218571733099
business_relation_log2;-0.09705779218740129;0.0003182147244384392;0.026822387951832047;-0.14972230610641576;-0.04439327826838683
identity_**2;0.00531191990405323;0.8560666189302442;0.02927448143345941;-0.05216716576471733;0.06279100557282379
credit_days_**3;-0.05673959038423074;0.09413073583529308;0.03384732017349882;-0.12319723269406893;0.009718051925607457
monthlyIncome;0.052861449249953577;0.08897323917518359;0.031035217096133983;-0.008074759176908204;0.11379765767681535
conditions_log2;-0.05660027303226565;0.05021775738077457;0.02885434932056225;-0.11325444879565301;5.390273112171329e-05
banking_connection;-0.006885830838800944;0.7963770119380118;0.026674813278652332;-0.05926058873595322;0.045488927058351336
female;-0.009169515348764725;0.9161547777021913;0.08706533166592412;-0.18011825338125917;0.1617792226837297
mailOrder;-0.013731501613691598;0.839839227571583;0.06791843007460358;-0.1470861869774628;0.1196231837500796
