predictor;coefficient;pvalue;standard error;0.025;0.975
const;-0.07121794404299678;0.478862146137789;0.10043601386697364;-0.2689265513581531;0.12649066327215952
age_log2;0.3708154798096369;1.3337137769979474e-13;0.04760657971990769;0.2771017787867418;0.46452918083253203
credit_card_days;0.29872117758965405;1.7606137950080924e-08;0.051471940294114164;0.19739850219119814;0.40004385298810996
solvency_log2;-0.330450437837431;9.643436706711525e-15;0.04036166557225984;-0.40990250270910944;-0.25099837296575256
giro_days;0.15007857167826125;0.0009858565699104639;0.045070451935599644;0.06135724612810181;0.23879989722842068
secured_loan_log2;0.17647495678677824;2.0401713829969283e-05;0.04071233641187603;0.09633259527092614;0.25661731830263035
finance_year_log2;-0.1381705160152939;0.0013558336140850722;0.04269091954015984;-0.22220772460530783;-0.05413330742527997
relocation_log2;-0.07240813992417669;0.09297536755859862;0.04295484431861813;-0.15696488526575925;0.012148605417405867
credit_card_**2;-0.0916012123507311;0.03073371971040874;0.04218279814379948;-0.17463818238334372;-0.00856424231811849
unsecured_loan_**3;-0.0001368705449292379;0.9968760860341104;0.0349269550817259;-0.06889069082410837;0.0686169497342499
telecom;-0.06720752976168254;0.07332315427512265;0.03738756914012254;-0.14080507650804341;0.006390016984678351
credit_days_**3;-0.035426713231075324;0.4071491016293808;0.042673740636793585;-0.11943010509610211;0.04857667863395146
giro_**3;-0.042380436954156435;0.4096908800376575;0.05132789578435509;-0.14341956028478955;0.05865868637647668
business_relation_log2;-0.07246405786212166;0.042541429641721314;0.03556484352134241;-0.14247356352907473;-0.0024545521951686022
conditions_log2;-0.0180227967751775;0.6730344796456178;0.042664289661268645;-0.10200758436533451;0.06596199081497951
identity_**3;-0.013907395563919966;0.7402425758435636;0.041907156445390226;-0.09640176405140696;0.06858697292356702
monthlyIncome;0.002555670200691633;0.9506061136660766;0.041219559449915205;-0.07858516145139777;0.08369650185278105
global_credit_log2;-0.023869937737887148;0.5930123295184428;0.04460901940516849;-0.1116829319092019;0.0639430564334276
banking_connection_**3;-0.003866488249584285;0.9206590456495733;0.038783651489726255;-0.08021222746605856;0.07247925096689
female;-0.033369637394247545;0.6289288285548789;0.06897835998343788;-0.16915375468579874;0.10241447989730364
mailOrder;0.11823380504925252;0.23767127872980787;0.09991309728616635;-0.07844543934166082;0.31491304944016585
east;-0.037354481247489774;0.6318642530332781;0.07788140832276283;-0.19066427703081015;0.1159553145358306
