predictor;coefficient;pvalue;standard error;0.025;0.975
const;-0.08889594702891566;0.34215698295190355;0.09342440299191421;-0.27279931512280775;0.09500742106497644
age_log2;0.3692121355279002;1.3575215669881138e-13;0.04742607050765605;0.27585521996301066;0.4625690510927898
credit_card_days;0.30015049323437076;1.3769452715238398e-08;0.051316738440351464;0.19913490483836327;0.40116608163037826
solvency_log2;-0.32977776703100403;9.575808337968487e-15;0.040282495552193376;-0.4090727517462583;-0.2504827823157498
giro_days;0.14986145643978596;0.0009857455774364748;0.045006530937468696;0.061267337980834696;0.23845557489873723
secured_loan_log2;0.175718750356737;2.1216190156686426e-05;0.040626633322532066;0.09574633990445039;0.25569116080902365
finance_year_log2;-0.1396686278460928;0.0011505393996505773;0.042520175731621423;-0.2233684244577568;-0.055968831234428806
relocation_log2;-0.07239729902017625;0.0925749870794697;0.042896044691395636;-0.15683698334266039;0.01204238530230789
credit_card_**2;-0.09259873376464751;0.02856525496463463;0.04207470329178466;-0.17542163012910228;-0.009775837400192763
unsecured_loan_**3;-0.0018645512286588166;0.9571813229692978;0.03469633773395684;-0.07016333789952588;0.06643423544220824
telecom;-0.06806586879956888;0.06905130136162756;0.03729432928704134;-0.14147873039723075;0.0053469927980929755
credit_days_**3;-0.03647992896839255;0.39209806229157806;0.0425598364888147;-0.12025779668991024;0.047297938753125136
giro_**3;-0.04049695903696225;0.42882773116844464;0.051109971750947364;-0.1411055328910162;0.06011161481709171
business_relation_log2;-0.0723869740803782;0.04247330536171674;0.03551580822726232;-0.14229886588166268;-0.00247508227909371
conditions_log2;-0.015302829855860404;0.7173774741121405;0.042234308179489324;-0.09843990405258533;0.06783424434086453
identity_**3;-0.012450368011255326;0.7657163454340778;0.041741576759539;-0.09461751395805187;0.06971677793554124
monthlyIncome;0.0024366828279095473;0.9528375848245566;0.04116240797997828;-0.07859038530361573;0.08346375095943481
global_credit_log2;-0.022156804062203904;0.6182104243284647;0.044407375004409305;-0.10957150054387374;0.06525789241946592
banking_connection_**3;-0.002686286671783805;0.9446444736583917;0.03865386757897278;-0.07877536200945157;0.07340278866588396
mailOrder;0.11977601151941122;0.23074428055841364;0.09972554188844603;-0.07653097520932434;0.3160829982481468
east;-0.037716333950901376;0.6280802443185383;0.07777122227674271;-0.19080684627357122;0.11537417837176847
