predictor;coefficient;pvalue;standard error;0.025;0.975
const;0.0779362036840413;0.5123497979371798;0.11877548807955837;-0.1560443107407887;0.31191671810887134
age_log2;0.3419486734386698;2.2863351566995272e-08;0.05913143886153127;0.2254633218968257;0.4584340249805139
solvency_log2;-0.45243066456459763;1.4168847722807998e-14;0.05513123569390315;-0.561035858254861;-0.34382547087433424
credit_card_days;0.23461342473654942;0.00047784546801790076;0.06624293682466724;0.10411885312203228;0.36510799635106655
finance_year_log2;-0.10496310523995542;0.06489796510726972;0.05659883350706432;-0.21645937769440118;0.0065331672144903485
relocation_**2;-0.07558411058110528;0.13839374260712678;0.05083781705837333;-0.17573152971514433;0.024563308552933746
mailOrder;-0.017414943152345833;0.890167893748944;0.12597701683861245;-0.26558203286247395;0.23075214655778226
credit_days_**2;-0.06111260026255862;0.24933636891461738;0.05292170917492452;-0.16536516059466957;0.04313996006955234
secured_loan_log2;0.1257645387784016;0.027370749026958033;0.056655544066289205;0.014156549958607198;0.237372527598196
conditions_log2;-0.05756056376123666;0.29213513798389706;0.05451950668598722;-0.16496068837306457;0.04983956085059125
identity_log2;0.007760990173309015;0.8859659332173393;0.054059536949215066;-0.09873302192852261;0.11425500227514064
east;-0.0012917329853993145;0.9898915059410227;0.10184984632728036;-0.20192975875199948;0.19934629278120086
business_relation;-0.027239585157137983;0.5699525483413947;0.047880444506419435;-0.12156115956310863;0.06708198924883267
credit_card;0.06267597029092542;0.38500474336296775;0.07201575323555581;-0.07919069985451976;0.2045426404363706
banking_connection;0.044268491093849234;0.4182650416789653;0.05459593299580772;-0.06328218871734281;0.1518191709050413
telecom_log2;0.06256564787495159;0.1877463175796956;0.047360354192882564;-0.030731380127747565;0.15586267587765074
giro_days;0.012146088869714848;0.8467271912373463;0.0627685932599679;-0.11150423644701035;0.13579641418644003
monthlyIncome;-0.07968778139261638;0.15066920154174693;0.05526983499833202;-0.18856600731430678;0.029190444529074003
giro;0.12600595671413484;0.06184209679950642;0.06715903487431449;-0.006293272548065221;0.2583051859763349
global_credit_log2;0.015801051876915613;0.7443160286802932;0.04839216008306072;-0.07952857120810175;0.11113067496193296
unsecured_loan_**3;0.024511259327052864;0.7109456707242413;0.06606317713000885;-0.10562919658136127;0.154651715235467
