predictor,coefficient,pvalue,standard error,0.025,0.975,abs
female,0.433881557830403,4.6194253904248E-07,0.084185850697047,0.268216412395242,0.599546703265564,0.433881557830403
credit_card_days_log2,0.399992929356887,6.18699391141474E-12,0.055868003603524,0.290053065763223,0.509932792950551,0.399992929356887
solvency,-0.297798729397788,1.29051202717689E-08,0.050922205816589,-0.398006003691927,-0.197591455103649,0.297798729397788
giro,-0.258182686377609,0.001150197731355,0.078657703508075,-0.412969266110041,-0.103396106645178,0.258182686377609
giro_days_log2,0.245162861222753,0.000950215754633,0.073450924441388,0.100622442860544,0.389703279584961,0.245162861222753
const,-0.21408331389731,0.033347897635115,0.100148901215191,-0.411161351924052,-0.017005275870569,0.21408331389731
age,0.194362356838755,0.000302596994114,0.053169192846044,0.089733348607815,0.298991365069694,0.194362356838755
credit_card_**2,-0.143692755929089,0.002585769719635,0.047291413096563,-0.236755173943607,-0.05063033791457,0.143692755929089
secured_loan_log2,0.122843613526427,0.016077215257619,0.050745681802828,0.022983712052902,0.222703514999952,0.122843613526427
east,0.104506937665951,0.262813937387605,0.093155214722237,-0.078808572805507,0.287822448137409,0.104506937665951
business_relation,-0.099765182639574,0.021652689897557,0.043218488739763,-0.184812695532519,-0.014717669746628,0.099765182639574
telecom_**2,-0.096291853918363,0.041351386765946,0.047000470456289,-0.188781740392066,-0.003801967444659,0.096291853918363
monthlyIncome,0.091838801045728,0.073484746381951,0.051133545360989,-0.00878435781891,0.192461959910365,0.091838801045728
relocation,-0.089590953305804,0.06190139441301,0.047808366566505,-0.183670658323684,0.004488751712077,0.089590953305804
finance_year_**2,-0.060601265842158,0.202130278457515,0.047408234024844,-0.153893569946955,0.032691038262639,0.060601265842158
conditions_log2,-0.060186065614868,0.292871166642658,0.05711980429136,-0.172589285476707,0.052217154246971,0.060186065614868
global_credit,-0.045767232987863,0.365467823585195,0.050495636110507,-0.145135081988902,0.053600616013176,0.045767232987863
unsecured_loan_log2,-0.04487281889733,0.346500310512424,0.04759166178272,-0.138526081357169,0.048780443562509,0.04487281889733
mailOrder,0.044500814109936,0.661881135104875,0.101658283068859,-0.155547461340727,0.244549089560598,0.044500814109936
banking_connection_**3,-0.02875597885004,0.522704535533635,0.044936267778616,-0.117183823615156,0.059671865915076,0.02875597885004
credit_days_**3,0.020520155553563,0.661619784473364,0.046837913195968,-0.071649842578457,0.112690153685584,0.020520155553563
identity_**3,0.013671001450697,0.804270907591333,0.055115794535847,-0.094788627358112,0.122130630259505,0.013671001450697
