;age;score
score;0.479576129141897;1.0
mailOrder;-0.05695063737190813;-0.11915316828391485
monthlyIncome;0.4991572622513362;0.27186219822159363
age;1.0;0.479576129141897
relocation;-0.39914965054557705;-0.2772018867341903
request;0.038721901842536384;-0.17171482906396557
banking_connection;0.020363503272269278;-0.020195366659501696
business_relation;-0.022843428448398487;-0.12092487188976535
conditions;0.00491447424269625;-0.1506295537966064
credit_card;0.10106881276772692;0.24624635690471486
giro;-0.06396759432476005;-0.01335602660613734
global_credit;0.11725642183857665;0.023420106205630852
identity;-0.12255552626454158;-0.1118949491297891
secured_loan;0.2630850856257818;0.15943065062039566
solvency;-0.13550476691002583;-0.38759066088349897
telecom;-0.021689748922687657;-0.0417163912816243
unsecured_loan;0.10884936040244132;-0.021053197638669658
Versandhandel_req;-0.04225897717404163;-0.2498126586840017
finance_year;-0.09911115958508604;-0.30428575062091373
credit_days;0.27491822061440535;0.09090737461297668
credit_card_days;0.21500835976228472;0.37136174576415565
giro_days;0.1349763002104291;0.17400725135015246
