;Feature;Lengthscale;Weight;Relevance Ratio
4;age;4.217884554524728;0.05620961653906871;29.88167139339258
21;credit_card_days;6.416503573649938;0.024288635588130627;19.642697738244905
15;solvency;9.037715658845205;0.01224285350306967;13.945718696097863
6;request;10.101106708736278;0.00980081252592935;12.477587245421962
19;finance_year;26.269599660108817;0.0014490824321088478;4.797843966574248
16;telecom;28.897315239192938;0.0011975261580789657;4.361562283219707
20;credit_days;37.8908144640783;0.000696517638505961;3.326332305500097
8;business_relation;55.224886105300016;0.00032789163874088686;2.282258038400517
11;giro;99.22159477226195;0.00010157517840826767;1.2702621896257666
23;noise_feat;126.03744023357399;6.295074170812684e-05;1.0
18;Banken_req;132.78301415541114;5.671722242888751e-05;0.949198517862066
5;relocation;153.25730276016273;4.257529286863583e-05;0.8223910897793498
10;credit_card;298.34488407446815;1.123473440185683e-05;0.42245551025475103
17;unsecured_loan;299.66002487620165;1.1136337326940116e-05;0.42060144754257345
9;conditions;301.10415117460343;1.1029771466488262e-05;0.4185841999916094
7;banking_connection;301.23005692219795;1.1020553120781717e-05;0.4184092434910208
0;female;301.35269978319036;1.1011584778147597e-05;0.4182389616029729
12;global_credit;301.506692633694;1.1000339440422235e-05;0.4180253484014671
2;mailOrder;301.5300396002714;1.0998636030607095e-05;0.4179929813979985
22;giro_days;301.63626532573517;1.0990890726067343e-05;0.4178457789134437
14;secured_loan;301.7726758696777;1.0980956529611928e-05;0.41765689975193115
1;east;301.78083393750984;1.098036283930891e-05;0.41764560919621796
3;monthlyIncome;301.9073135275175;1.0971164646214684e-05;0.4174706427642941
13;identity;301.9945010193363;1.096483068818435e-05;0.41735011666819705
