;Feature;Lengthscale;Weight;Relevance Ratio
21;credit_card_days;3.4139599110200285;0.08579918567017761;8.128939488308468
0;female;5.787974468753443;0.029850168466571576;4.79474705391534
15;solvency;6.653926036973626;0.022586246409154964;4.1707517303295765
14;secured_loan;8.264707660550155;0.014640132502888314;3.357877213813685
18;Versandhandel_req;8.500934957718533;0.013837786107127681;3.2645672117506446
4;age;9.435072642857545;0.011233355509283317;2.9413523968150104
6;request;11.499799307213785;0.007561700597406015;2.4132485090225986
19;finance_year;13.757178930155842;0.005283737437017984;2.0172648529968926
3;monthlyIncome;26.4976334072845;0.0014242486788183498;1.047334043219251
20;credit_days;26.8755138761976;0.0013844792338652669;1.032608107887058
23;noise_feat;27.751873532192775;0.001298420562391021;1.0
7;banking_connection;37.21614755060037;0.0007219999545119685;0.7456944191888847
5;relocation;52.25948578082326;0.00036615901898364643;0.531039927346097
2;mailOrder;274.49633125761477;1.3271710855628964e-05;0.10110107266296264
10;credit_card;288.0326250067372;1.2053596112381133e-05;0.09634975736357522
17;unsecured_loan;291.2519660602618;1.1788600997402245e-05;0.09528475947335148
8;business_relation;295.1154315330243;1.148196348666839e-05;0.09403735137817507
12;global_credit;297.03357832730677;1.1334148688439789e-05;0.09343008857272182
11;giro;299.7072498501652;1.113282809046744e-05;0.09259660400629936
9;conditions;300.10825114327724;1.1103096845933054e-05;0.09247287745828593
1;east;300.8754709011344;1.1046544184323048e-05;0.09223707552189207
22;giro_days;301.2898544295273;1.1016179019233034e-05;0.09211021587414266
13;identity;301.4319544825437;1.1005795046189388e-05;0.09206679358143473
16;telecom;301.4864930482252;1.10018135345897e-05;0.09205013880258191
