;Feature;Lengthscale;Weight;Relevance Ratio
17;unsecured_loan;8.400749361030055;0.014169807321136242;35.97786368671229
21;credit_card_days;9.190289925485304;0.011839723917204533;32.88699462453732
4;age;10.32956714800668;0.009372074963819423;29.259794824577796
5;relocation;12.254887662868311;0.006658575537243544;24.6628956292394
15;solvency;13.216322830238378;0.005725042606331658;22.868767603486525
20;credit_days;13.260441921938877;0.00568701016472537;22.79268045187309
19;finance_year;13.458052463459765;0.005521226528751911;22.458005435630117
22;giro_days;16.74668376361749;0.003565679968447808;18.047812906935008
14;secured_loan;22.568969182891514;0.001963254280169361;13.391883914950336
10;credit_card;28.839838152218874;0.0012023041948584507;10.479983063085289
16;telecom;60.60700172279085;0.0002722415449689568;4.986899315029455
9;conditions;81.39733358897243;0.00015093141476912685;3.713156218403717
3;monthlyIncome;91.77692350416976;0.00011872249343042581;3.2932136297164374
8;business_relation;109.09307618118612;8.402443945461435e-05;2.770487605239042
2;mailOrder;245.85589043838297;1.6543933055411472e-05;1.2293421761766703
18;Banken_req;299.2113808304675;1.1169758496703914e-05;1.0101253987682501
6;request;301.4740903064101;1.1002718789561906e-05;1.0025439170251251
13;identity;301.7841410573982;1.0980122182677792e-05;1.0015139109642266
11;giro;301.918203304015;1.097037323069231e-05;1.0010692037440176
12;global_credit;302.06166827095507;1.0959954891374818e-05;1.0005937433486554
0;female;302.08373252077865;1.095835391571581e-05;1.0005206598027758
7;banking_connection;302.1937524998382;1.0950376130672436e-05;1.0001563992542717
1;east;302.1943519838149;1.09503326846684e-05;1.0001544151743853
23;noise_feat;302.2410153773747;1.0946951672745711e-05;1.0
