predictor;coefficient;pvalue;standard error;0.025;0.975
const;-0.057529514461577134;0.6421489007852221;0.1237032459563197;-0.3007420801518036;0.1856830512286493
age;0.19189519621015708;3.3655335021301644e-06;0.040693017397069986;0.11188878174377262;0.2719016106765415
credit_card_days;0.3669886702619741;8.442525609618005e-13;0.049584292267038574;0.2695011480310798;0.4644761924928685
relocation;-0.03819833384600101;0.36315218449865583;0.04195559230459772;-0.12068709289649082;0.04429042520448879
solvency_log2;-0.3765815026192756;7.883643540670285e-15;0.046565113497150604;-0.46813302689615344;-0.28502997834239774
female;0.08451685722474812;0.5510164456719657;0.14162648825685814;-0.19393453919867343;0.36296825364816965
finance_year_**2;-0.001336077126713707;0.9797227493128735;0.05253342952809093;-0.10462188891976279;0.10194973466633539
mailOrder;0.06186805910483577;0.6209869510238302;0.12502416907740552;-0.1839415694100175;0.307677687619689
secured_loan_**2;0.042218022166326044;0.3221475881801257;0.0425877215700131;-0.04151356425947644;0.12594960859212853
giro_days;0.14474200114519142;0.013145692663459047;0.058099658648480976;0.030512443655544022;0.25897155863483884
credit_card_**2;-0.051882482035605894;0.2639699181468327;0.04637841522027354;-0.14306693941316204;0.03930197534195024
conditions_**2;-0.07814820619493305;0.07349467981522734;0.04354614826633334;-0.16376415235629466;0.0074677399664285354
giro;-0.09994517552506971;0.11767317164829155;0.06373652017284252;-0.22525734886025914;0.025366997810119724
unsecured_loan_**3;-0.053018492472512904;0.18639920984122854;0.040054816739509135;-0.1317701426184415;0.025733157673415705
identity_**2;-0.027045311942338092;0.5105715258539751;0.04106759750133586;-0.10778818718233221;0.05369756329765602
credit_days_log2;-0.06243634726554048;0.20096057333947553;0.04874051117634609;-0.15826491412819266;0.033392219597111694
telecom_log2;-0.10499740300825057;0.0158800350625297;0.043346212235571335;-0.19022025556370373;-0.019774550452797413
global_credit_**2;0.048580066933315735;0.3333695817970993;0.05015715476666796;-0.05003375846970212;0.1471938923363336
banking_connection_**2;-0.012043010096495702;0.7713295434844383;0.04140776583739835;-0.0934546892400636;0.06936866904707219
east;0.0069219233709582224;0.9453389768335966;0.10089457388312771;-0.19144658336169776;0.20529043010361422
business_relation_**2;-0.0654450854394436;0.11125308971107883;0.040999958842406654;-0.1460549765232756;0.015164805644388366
monthlyIncome;0.05073660295647193;0.23725624556936928;0.04286269512180562;-0.033535608111080285;0.13500881402402415
