predictor;coefficient;pvalue;standard error;0.025;0.975
const;-0.03797678910408182;0.765011982364998;0.12696380898455237;-0.28759792976784304;0.21164435155967942
credit_card_days;0.35989202193122843;7.178251810054908e-12;0.050896386061020114;0.25982560106825014;0.4599584427942067
relocation;-0.07463773058098612;0.07877679199281354;0.04234859671667524;-0.1578985046745884;0.008623043512616169
solvency_log2;-0.3727783985725575;5.880722039181411e-14;0.04781217104062167;-0.46678100268648226;-0.27877579445863276
female;0.14876891850200513;0.3047545100251947;0.14476656868944118;-0.1358538909053103;0.43339172790932057
finance_year_**2;-0.008046290946477682;0.8814710831075447;0.053928621694556575;-0.1140743328702794;0.09798175097732403
mailOrder;0.06361120491747821;0.6205632619419607;0.12839113053769358;-0.18881616562421957;0.316038575459176
secured_loan_**2;0.03914063870866078;0.3713091597487792;0.043729685843767185;-0.04683546856547766;0.12511674598279923
giro_days;0.1714804067184036;0.004095427436249025;0.05937975841919638;0.05473498810275841;0.2882258253340488
credit_card_**2;-0.043163964745840916;0.3649676869650196;0.0475897578154669;-0.1367292864293953;0.05040135693771346
conditions_**2;-0.07933704164167243;0.07682030834136946;0.044718313186092526;-0.16725687041295548;0.008582787129610608
giro;-0.12747750233711613;0.05120007950892515;0.06517806953929012;-0.25562287064942857;0.0006678659751963301
unsecured_loan_**3;-0.04201032396366604;0.30691968566531086;0.041063777345881666;-0.12274503902163078;0.038724391094298705
identity_**2;-0.02923963824001204;0.4884985855843128;0.04217104480454876;-0.11215133088129718;0.05367205440127311
credit_days_log2;-0.06612873237644395;0.18716604181074883;0.05004687636961432;-0.1645249483214252;0.032267483568537286
telecom_log2;-0.114958323108901;0.010083609905086522;0.044460856560753444;-0.20237197128429152;-0.027544674933510482
global_credit_**2;0.05378531211628972;0.29691985086311656;0.05149566178358039;-0.04745933339695716;0.1550299576295366
banking_connection_**2;-0.0160904352460522;0.7052847651222203;0.042513947088475036;-0.09967630157458313;0.06749543108247874
east;0.005513509505877215;0.9575893646031127;0.1036117125600565;-0.19819551657189177;0.20922253558364623
business_relation_**2;-0.06560137566812094;0.12003002666810768;0.042104277876212785;-0.14838179911590016;0.017179047779658285
monthlyIncome;0.06360957624481287;0.14840940358770513;0.04392784052161975;-0.02275611918920377;0.1499752716788295
