predictor;coefficient;pvalue;standard error;0.025;0.975
const;-0.027466266112625745;0.8181201935811606;0.11934901206732637;-0.26218625546944063;0.20725372324418917
credit_card_days_log2;0.38426655345597116;6.475992685928252e-09;0.06459586687438083;0.25722787150445364;0.5113052354074887
credit_card_**2;-0.08546117115240194;0.12291732277129735;0.0552673152639962;-0.19415368084177456;0.02323133853697068
female;0.33883372716141025;0.00926454684832892;0.12950138574252365;0.08414738031481195;0.5935200740080085
giro;-0.318140798716824;3.2996516153229716e-05;0.07564577343741034;-0.4669109881684202;-0.1693706092652278
relocation;-0.10020606376971694;0.023258015834763432;0.04396860017846367;-0.18667774197767076;-0.013734385561763124
solvency;-0.2728793119188433;1.3936448867610059e-07;0.05077270023288907;-0.37273240204377645;-0.17302622179391014
giro_days_log2;0.21519639066869423;0.004413748920730338;0.07510341174444174;0.0674928470870221;0.3628999342503664
telecom_**2;-0.11829523988108684;0.007451412665470427;0.04395258848551693;-0.2047354283906096;-0.031855051371564067
secured_loan_log2;0.12297025408929241;0.015515488811027755;0.05056638294283628;0.02352292176064498;0.22241758641793985
unsecured_loan_log2;-0.0816349052054545;0.1410093051524012;0.05533319557913923;-0.19045697966123232;0.027187169250323343
finance_year_**2;0.012630157961826222;0.807272398419328;0.05173571521533497;-0.08911686377188006;0.1143771796955325
conditions_log2;-0.17317925033062057;0.001794178929241381;0.05504494539616134;-0.2814344321183426;-0.06492406854289853
credit_days_**3;-0.0028816061864740915;0.9508633193846949;0.046729063670563835;-0.09478220207260792;0.08901898969965973
banking_connection_**3;0.019770063232540186;0.6726685248132174;0.04675550072818974;-0.07218252559242984;0.11172265205751021
east;0.03201938818133837;0.7564313943435145;0.10315194194164318;-0.17084632721326468;0.23488510357594142
identity_**3;-0.0975706656292119;0.028553753916356204;0.04437928703055241;-0.18485002889363583;-0.010291302364787966
business_relation;-0.051130525639862576;0.24202546994133597;0.04363067234715836;-0.13693761169415358;0.03467656041442842
monthlyIncome;-0.002603733498052964;0.9551948534635426;0.04630985716520756;-0.0936798889906624;0.08847242199455646
global_credit;-0.004521531941123475;0.9131758336564679;0.04143961744001336;-0.08601953846826131;0.07697647458601435
mailOrder;0.003757557725832795;0.9753395660479077;0.12147019063306505;-0.2351340875311853;0.24264920298285092
