predictor;coefficient;pvalue;standard error;0.025;0.975
const;-0.024107038638965485;0.802550921544465;0.09634400397858157;-0.21352868408854572;0.16531460681061474
age_log2;0.30590626293730794;1.1515855559783138e-15;0.03660020885792537;0.23394670656255123;0.37786581931206464
credit_card_days_log2;0.31666977162990984;2.640170847073905e-07;0.060432128761503716;0.19785435193269882;0.4354851913271208
giro_days;0.2604649847488727;6.981376507725265e-07;0.05162853918296539;0.15895827503843193;0.36197169445931343
giro;-0.24766723520527373;9.529781753637625e-06;0.05519605480307853;-0.3561880262391266;-0.13914644417142086
solvency;-0.24979593771861897;2.056447351516468e-09;0.040691239602454694;-0.32979885686856036;-0.1697930185686776
unsecured_loan_log2;-0.10713044456600204;0.01056951954153986;0.041699768540350554;-0.18911622931225203;-0.025144659819752044
female;-0.029433645197794164;0.8118357041591004;0.1235562196742431;-0.27235714297382563;0.21348985257823727
telecom;-0.06681518374611985;0.0711469908708172;0.03692465454330288;-0.13941263177002255;0.005782264277782848
relocation;-0.09681605384862532;0.00930208532070513;0.037040071553380814;-0.16964042289572623;-0.023991684801524416
conditions_log2;-0.19600867350336768;8.529312225558673e-06;0.04344298282351966;-0.2814217864096816;-0.11059556059705376
credit_card;-0.11184871582938478;0.05288715233380271;0.05760110545919072;-0.225098069449983;0.0014006377912134244
finance_year_log2;-0.003605697604921649;0.9383588528817836;0.04659555050864653;-0.09521706399508145;0.08800566878523816
secured_loan_log2;0.08451709227365614;0.026475532804796944;0.03793972724786089;0.009923912974239099;0.15911027157307317
business_relation;-0.1198065474782437;0.0015304265152845896;0.03753875260382998;-0.19361137178181917;-0.04600172317466822
identity_**3;-0.04921790122674213;0.21211416388073812;0.03937960489048389;-0.1266420194642206;0.02820621701073632
east;-0.009088136972382005;0.9158563379161977;0.08596133725232255;-0.17809645378471967;0.15992017983995566
global_credit;-0.03705890669344437;0.3050942852024275;0.036087162434744684;-0.10800976409724578;0.03389195071035705
banking_connection_**3;0.057980233857087185;0.07774113569596228;0.03278255027219487;-0.006473435890469004;0.12243390360464337
credit_days_**3;-0.06529447184252161;0.0976885422616188;0.03933003568342975;-0.14262113221675915;0.012032188531715934
monthlyIncome;0.030897032652985903;0.40868580547487565;0.03735562561129062;-0.04254774624225517;0.10434181154822698
mailOrder;0.031441058301187666;0.7536930452148176;0.10013212547160757;-0.16542840098983752;0.22831051759221282
