predictor,coefficient,pvalue,standard error,0.025,0.975,abs
solvency_log2,-0.358472647941557,1.71861336522255E-10,0.054420194699515,-0.465517568763429,-0.251427727119685,0.358472647941557
female,0.346912454720056,0.017629438602117,0.145455464678325,0.060800492321314,0.633024417118797,0.346912454720056
age_log2,0.276563760305706,4.32937026334082E-10,0.043005443511602,0.191971738519906,0.361155782091507,0.276563760305706
credit_card_days,0.209238551113669,0.000917007630977,0.062562835118587,0.086176997059349,0.33230010516799,0.209238551113669
finance_year_log2,-0.160180289288274,0.018133661462025,0.067460336397129,-0.292875264161487,-0.027485314415061,0.160180289288274
mailOrder,-0.122113630433982,0.359700823516086,0.133139904611268,-0.384000796145864,0.1397735352779,0.122113630433982
east,0.109983166785833,0.289733208798526,0.103721453638041,-0.094037690793209,0.314004024364875,0.109983166785833
credit_card,0.105360838011187,0.120202537884303,0.067631829796696,-0.027671465632705,0.238393141655079,0.105360838011187
credit_days_**2,-0.090274170170328,0.08386967150791,0.052067951613744,-0.192692211646022,0.012143871305366,0.090274170170328
secured_loan_log2,0.082397676261459,0.093313998471996,0.048961138108286,-0.01390924033612,0.178704592859038,0.082397676261459
monthlyIncome,0.081466370525344,0.074092001615816,0.045471369225628,-0.007976145167508,0.170908886218195,0.081466370525344
const,0.066182331735825,0.613992520484825,0.131092815671136,-0.191678195065231,0.32404285853688,0.066182331735825
giro_days,0.058528965129385,0.35131398819944,0.062709586322982,-0.064821249616829,0.181879179875599,0.058528965129385
conditions_log2,-0.058493705579449,0.298092523384659,0.056128560494387,-0.168898994409127,0.05191158325023,0.058493705579449
banking_connection,-0.048019810020063,0.261274735921158,0.042674185468363,-0.131960244813094,0.035920624772969,0.048019810020063
telecom_log2,0.036137103945755,0.454142223800343,0.048221898876915,-0.058715723679386,0.130989931570895,0.036137103945755
relocation_**2,-0.035365039687129,0.43035844879298,0.04479277899458,-0.123472763434562,0.052742684060304,0.035365039687129
giro,0.030361041832982,0.702275426801021,0.079359728714373,-0.125740124720745,0.186462208386709,0.030361041832982
business_relation,-0.018790154059284,0.678342626330229,0.045268147237596,-0.107832930615989,0.070252622497422,0.018790154059284
global_credit_log2,0.013992497833439,0.756241746937819,0.045039507464222,-0.074600542617531,0.102585538284408,0.013992497833439
unsecured_loan_**3,0.005466725171523,0.9059364728786,0.046228583513524,-0.085465236561361,0.096398686904408,0.005466725171523
identity_log2,-0.004875897843047,0.914878980040591,0.04558339024761,-0.094538759705085,0.084786964018992,0.004875897843047
