predictor;coefficient;pvalue;standard error;0.025;0.975
const;0.12027806824590778;0.3853965980298911;0.1383906888668404;-0.15193454306152662;0.39249067955334216
solvency_log2;-0.369421035257244;4.593436336519471e-10;0.057540201994818935;-0.4826018335350676;-0.25624023697942044
credit_card_days;0.2086757421164519;0.0017600046273815383;0.066182002972122;0.07849663831899689;0.3388548459139069
female;0.36318502605428976;0.01880638595917684;0.1538467151734091;0.060570620263443564;0.6657994318451359
finance_year_log2;-0.1607406455462731;0.024933592474952127;0.07136282777746629;-0.3011103615918258;-0.02037092950072042
relocation_**2;-0.041958732858435044;0.3763877044147872;0.04737160635580019;-0.13513804118854927;0.051220575471679186
mailOrder;-0.15156406968615277;0.28235066941926346;0.14075864966355742;-0.42843442782053015;0.1253062884482246
credit_days_**2;-0.0690463071343666;0.20994852106038261;0.05496926246950207;-0.17717010217425277;0.039077487905519584
secured_loan_log2;0.08975538923809283;0.08393035655596469;0.05177937542970961;-0.012093941182911724;0.19160471965909737
conditions_log2;-0.06328789875532129;0.28718894116203275;0.05937033572224217;-0.18006854529651353;0.05349274778587096
identity_log2;-0.004277022486501251;0.929374608964025;0.04822026877807309;-0.09912563831105019;0.09057159333804769
east;0.12078192265754481;0.2717008932047531;0.10970731434022646;-0.0950108793048291;0.3365747246199187
business_relation;-0.02067126534404657;0.666250170285841;0.047885889976477226;-0.11486216259306445;0.0735196319049713
credit_card;0.11309856626732648;0.11479481708771834;0.07153297855289177;-0.027605834049789613;0.25380296658444257
banking_connection;-0.04709631384314228;0.2975627606890127;0.04514261280688791;-0.13589122204124574;0.04169859435496118
telecom_log2;0.03380663702067425;0.507944662999628;0.051010074154153484;-0.06652948820700424;0.13414276224835273
giro_days;0.11042643126108358;0.09415589354414243;0.06578571644543195;-0.018973182303758676;0.23982604482592584
monthlyIncome;0.10768302552479112;0.02523797861024385;0.04790816245495217;0.013448318612163668;0.20191773243741856
giro;-0.018605105930401045;0.8239445682771144;0.08356335659052914;-0.18297309696634007;0.14576288510553798
global_credit_log2;0.015572038870615264;0.7439910712278013;0.04764431477116236;-0.07814368322027357;0.10928776096150408
unsecured_loan_**3;0.01891003318361051;0.6989388550078741;0.04885286331347903;-0.07718288752728346;0.11500295389450448
