predictor;coefficient;pvalue;standard error;0.025;0.975
const;0.0029557205972351075;0.9611424097385155;0.0606431374449106;-0.11613326267507221;0.12204470386954241
age_log2;0.23355266290515175;6.812507342363918e-13;0.03183209920691924;0.17104184157076885;0.29606348423953466
credit_card_days;0.29316043289942145;2.278778134275131e-19;0.03151449446945595;0.23127331322132788;0.355047552577515
solvency_log2;-0.3547349820952507;3.7040062748194266e-32;0.02838008039392667;-0.41046684330327776;-0.2990031208872236
giro_days;0.16554714865114545;5.256708055914399e-08;0.030046105061474218;0.10654360342206885;0.22455069388022203
secured_loan_log2;0.2044960175098593;1.467341998415721e-11;0.029728017642077758;0.14611712181185368;0.26287491320786494
finance_year_log2;-0.18668207051994162;3.1483547419065575e-10;0.02919257291493379;-0.24400947761032005;-0.1293546634295632
relocation_log2;-0.12540681724349484;5.026569311464843e-06;0.02723968846644475;-0.1788992145830976;-0.07191441990389207
credit_card_**2;-0.11853467008705278;0.00015671023659482336;0.031165172858843737;-0.17973580356463614;-0.05733353660946941
unsecured_loan_**3;0.01270649775055286;0.6720475116269713;0.0300007494834905;-0.04620797969780881;0.07162097519891453
telecom;-0.06386207425384777;0.011160619028986076;0.02509116233348125;-0.11313526718732893;-0.014588881320366606
credit_days_**3;-0.10891542022516437;0.00068488924200888;0.031915171471405414;-0.17158937611908048;-0.046241464331248275
giro_**3;-0.0029698951341717624;0.9185569039195621;0.029033213361174776;-0.05998435721491692;0.05404456694657339
business_relation_log2;-0.0509767676693919;0.041164949184258864;0.024914171673686546;-0.09990239221159725;-0.002051143127186565
conditions_log2;-0.038169345297861895;0.17099576725665697;0.02784890387351783;-0.09285809966117678;0.01651940906545299
identity_**3;-0.0327942799673718;0.2682253051406228;0.029593843403476875;-0.09090968874287395;0.025321128808130332
monthlyIncome;0.06959651600161178;0.017190942181891034;0.02913234168552653;0.012387389003154184;0.12680564300006936
global_credit_log2;0.09015102390507096;0.0005155220764950335;0.025825442167204563;0.03943587657213438;0.14086617123800754
banking_connection_**3;0.04518450289846748;0.07749729040115158;0.025552402203813846;-0.0049944576043855285;0.09536346340132049
female;0.019956142911840308;0.7876240434350653;0.07404524934880402;-0.12545146349876077;0.16536374932244138
mailOrder;-0.008922675288502751;0.892382944428738;0.06592557500189648;-0.13838513434662947;0.12053978376962397
