predictor;coefficient;pvalue;standard error;0.025;0.975
const;0.07382329932163764;0.29215616856249993;0.07002574951696856;-0.06367228847513609;0.21131888711841137
age_log2;0.3167839893043338;3.1965852312861492e-18;0.03535950449666682;0.2473555877733546;0.38621239083531306
solvency_log2;-0.36146629271199177;9.79980432383192e-27;0.03232924381937753;-0.4249447761646164;-0.29798780925936713
credit_card_days;0.23883981401627596;9.792211530882737e-09;0.041127082514444344;0.15808677069012525;0.3195928573424267
female;0.31809052785308173;0.0005747707211674926;0.09193931036685764;0.13756765437126503;0.4986134013348984
finance_year_log2;-0.15655529815268737;2.3355170191819062e-05;0.03674960860124176;-0.22871316966114857;-0.08439742664422616
relocation_**2;-0.06327092303764692;0.026337685031499403;0.028422193802083356;-0.11907791218446506;-0.007463933890828785
mailOrder;-0.09479024266199187;0.21365824400909317;0.07615214313724364;-0.24431500683609245;0.0547345215121087
credit_days_**2;-0.1270119256022352;0.0004656899425118124;0.03611290379129065;-0.19791962695612997;-0.056104224248340454
secured_loan_log2;0.06129363397105453;0.07974494869579067;0.034928631343256474;-0.007288747947101423;0.1298760158892105
conditions_log2;-0.10939896782838278;0.0003214311424622555;0.03025304311723838;-0.16880083035379376;-0.04999710530297181
identity_log2;0.0700069934318261;0.023521124948182922;0.03083956310890278;0.009453498663065649;0.13056048820058658
business_relation;-0.006394820340146594;0.8232364099396039;0.028615809417464555;-0.0625819738268983;0.04979233314660511
credit_card;0.1456836702141212;0.0005499021783688378;0.04196085039998215;0.06329352330394795;0.22807381712429448
banking_connection;-0.06235459631922771;0.01979941969705832;0.026696164771584333;-0.11477252675921613;-0.00993666587923929
telecom_log2;-0.010634491535388849;0.7138550886827486;0.028989586016480762;-0.06755555552707503;0.046286572456297324
giro_days;0.04253540441305536;0.28674817734405805;0.039897049153931934;-0.03580246790700262;0.12087327673311335
monthlyIncome;0.07812426497256564;0.018836770998818544;0.033181493100944204;0.01297238970726225;0.14327614023786903
giro;0.04099743266666211;0.35631488382538157;0.04441540622063302;-0.04621223560056;0.1282071009338842
global_credit_log2;0.06260399587425995;0.05346116419969142;0.03236049746545418;-0.0009358541252098562;0.12614384587372976
unsecured_loan_**3;0.012655365678497496;0.6385230676720072;0.026927558883766536;-0.04021690719533372;0.06552763855232871
