predictor,coefficient,pvalue,standard error,0.025,0.975,abs
credit_card_days_log2,0.454185753246024,1.23414445219855E-22,0.044747064978871,0.366326737833005,0.542044768659043,0.454185753246024
age_log2,0.376361862160066,8.71979047536158E-28,0.032935279320177,0.31169480042563,0.441028923894503,0.376361862160066
solvency,-0.278086143429014,2.92134499418794E-18,0.031012242677768,-0.338977402078155,-0.217194884779874,0.278086143429014
credit_card,-0.257327617717916,1.52616684883522E-08,0.044924408973658,-0.345534840745864,-0.169120394689969,0.257327617717916
telecom,-0.214848864670761,5.42803278554441E-16,0.025872409873575,-0.265648273725359,-0.164049455616164,0.214848864670761
secured_loan_log2,0.171652619663688,5.73161814752784E-08,0.031275935520809,0.110243610999615,0.233061628327762,0.171652619663688
giro_days,0.11822842083504,0.000284599560746,0.032409803452664,0.054593109280526,0.181863732389554,0.11822842083504
business_relation_log2,-0.097048554616731,0.000321796593609,0.026841547982677,-0.149750826353053,-0.044346282880409,0.097048554616731
global_credit_log2,-0.067727040703618,0.015612847980305,0.027940864511499,-0.122587775076431,-0.012866306330804,0.067727040703618
finance_year_log2,-0.064329477876348,0.052352711067582,0.033097654589426,-0.129315356750867,0.000656400998171,0.064329477876348
relocation,-0.060143407451562,0.031783732234842,0.027953429661965,-0.115028812978762,-0.005258001924361,0.060143407451562
credit_days_**3,-0.056716579154239,0.094501241044676,0.03387168732345,-0.123222239358347,0.009789081049869,0.056716579154239
conditions_log2,-0.056446008105782,0.0511179190017,0.02888830573093,-0.113167004212863,0.000274988001298,0.056446008105782
monthlyIncome,0.052899994087436,0.088976555030811,0.031058104637436,-0.008081312626828,0.113881300801701,0.052899994087436
giro_**2,-0.046869218797089,0.179440705811446,0.034876469700669,-0.115347727732359,0.021609290138181,0.046869218797089
unsecured_loan,-0.031099064133802,0.260071894410622,0.027590608219717,-0.085272084732478,0.023073956464874,0.031099064133802
mailOrder,-0.013483586116581,0.842836827791689,0.067981520537699,-0.146962496153304,0.119995323920143,0.013483586116581
const,0.011138469253901,0.865248904629854,0.065612805965693,-0.117689567475508,0.139966505983309,0.011138469253901
female,-0.009266886614571,0.915329620255464,0.087129126944174,-0.180341331625113,0.161807558395972,0.009266886614571
east,-0.008807845287278,0.860864716602859,0.05023296236981,-0.107438193829126,0.08982250325457,0.008807845287278
banking_connection,-0.006902233788461,0.796046107208008,0.026693980396961,-0.059314762660217,0.045510295083295,0.006902233788461
identity_**2,0.005189479184334,0.859487901251607,0.029303658103266,-0.052347044164592,0.06272600253326,0.005189479184334
