predictor;coefficient;pvalue;standard error;0.025;0.975
const;-0.07246140862511669;0.47467793100281885;0.1012175740110119;-0.27174415285364084;0.1268213356034075
age;0.2843939308804737;1.4291767782061056e-06;0.057661968359171485;0.17086586616926197;0.39792199559168545
credit_card_days;0.43161014471893316;3.838246169525755e-14;0.05397051573735123;0.3253500155994783;0.537870273838388
relocation;0.0020574600413666086;0.9647347391202802;0.046491866200888715;-0.08947829124833029;0.09359321133106349
solvency_log2;-0.39136129894161276;2.2768243132275855e-15;0.0464704238810462;-0.48285483340895846;-0.29986776447426705
finance_year_**2;-0.1322418467201743;0.0024774722433578847;0.04328698225337094;-0.21746764566971924;-0.04701604777062937
mailOrder;0.13215955080806457;0.22956459227510018;0.1097464429682617;-0.08391530119001847;0.3482344028061476
secured_loan_**2;-0.029194801899639328;0.5896492624891245;0.054065001742953506;-0.13564096028003622;0.07725135648075757
giro_days;0.1147476313396162;0.06528173545589477;0.061995019807671116;-0.007311584132494484;0.23680684681172687
credit_card_**2;-0.10078802063234285;0.060444233758686725;0.05345432701614528;-0.20603184891761112;0.004455807652925428
conditions_**2;-0.008557120140748511;0.9175706714397809;0.08260412179886167;-0.17119267268692473;0.15407843240542773
giro;0.013067234296281371;0.8488868113314372;0.06851410934318473;-0.12182712433355081;0.14796159292611355
unsecured_loan_**3;-0.08105656298257843;0.1172366550608906;0.05157772907084735;-0.18260564169489316;0.020492515729736288
identity_**2;-0.02777903320335376;0.5498008288416829;0.04638986552115523;-0.11911395992706914;0.06355589352036162
credit_days_log2;-0.020305285283549572;0.7343230101567797;0.059768201260048136;-0.13798021753799486;0.09736964697089573
telecom_log2;0.030105181436046333;0.49400814854401387;0.04395652519477476;-0.056438850597481396;0.11664921346957406
global_credit_**2;-0.0009138127812339941;0.9888060051868981;0.06507178739894161;-0.1290307380427046;0.12720311248023664
banking_connection_**2;0.04498138085047251;0.34932327249106376;0.047977922871509454;-0.04948020080311144;0.13944296250405647
east;0.08533344376387947;0.3759983182195369;0.09622961605039652;-0.10412873362928662;0.2747956211570456
business_relation_**2;-0.019440540814673498;0.6781299672953327;0.04679162935720006;-0.11156648234546263;0.07268540071611562
monthlyIncome;0.009537073063766935;0.8485501149501491;0.049892238987697825;-0.08869351977865865;0.10776766590619251
