predictor;coefficient;pvalue;standard error;0.025;0.975
const;-0.020095480543369335;0.8354178918000326;0.09664218190006506;-0.21027029494563015;0.17007933385889146
age;0.20796554110804238;0.00020326097536865778;0.055298299567402114;0.0991482146546106;0.31678286756147417
credit_card_days_log2;0.3840146182679953;1.7209130808577987e-10;0.058087263798423786;0.26970910079299126;0.4983201357429994
credit_card_**2;-0.15050695201155176;0.0024314930176904948;0.04922661648160716;-0.2473762741748442;-0.0536376298482593
giro;-0.2875337188512088;0.0004984255838195157;0.08169349280097736;-0.44829214261448525;-0.12677529508793242
relocation;-0.07034961676412327;0.1573875976777708;0.04963215631499819;-0.16801696998416085;0.027317736455914315
solvency;-0.29864171787524174;4.0681429162184806e-08;0.05302643832063281;-0.40298842102053245;-0.19429501472995103
giro_days_log2;0.2877840432431851;0.00018411963336497966;0.07600016559402176;0.13822908595414188;0.4373390005322283
telecom_**2;-0.10291005844231327;0.03625144984270743;0.04892462896739765;-0.1991851222979241;-0.006634994586702442
secured_loan_log2;0.11481096796847885;0.030500923771633975;0.05281796297367563;0.010874507634717659;0.21874742830224003
unsecured_loan_log2;-0.049175090204071015;0.3217866394382219;0.04955089940818874;-0.1466825441247802;0.04833236371663817
finance_year_**2;-0.03844270556739075;0.4348682870142526;0.04916408355009025;-0.13518897392114118;0.058303562786359675
conditions_log2;-0.07813649610661846;0.18913556110569352;0.05936976603612534;-0.19496575239039224;0.03869276017715531
credit_days_**3;0.03983889418009443;0.413179152162497;0.04861718322688807;-0.0558311705385905;0.13550895889877937
banking_connection_**3;-0.06040242682368759;0.1935452736389612;0.04635446523135534;-0.15161986054434656;0.030815006896971385
east;0.09795640901751489;0.3133487047769628;0.09699609146158336;-0.09291483714832639;0.2888276551833562
identity_**3;0.002063892867287847;0.9713137267684193;0.057345678315931584;-0.11078231482472514;0.11491010055930084
business_relation;-0.08334366221805209;0.06428930749270995;0.04488214319964805;-0.17166382516506656;0.004976500728962385
monthlyIncome;0.09259145427092078;0.08306472206607288;0.05324656846413241;-0.01218842627538999;0.19737133481723154
global_credit;-0.06957400441042169;0.18494320594523575;0.05236204172651559;-0.17261329192734431;0.03346528310650092
mailOrder;0.07262500028359817;0.49258255282919494;0.10570697857913633;-0.13538773946495955;0.2806377400321559
