predictor,coefficient,pvalue,standard error,0.025,0.975,abs
credit_card_days_log2,0.533372931460585,9.61838967990933E-11,0.079011177939618,0.377786841294636,0.688959021626535,0.533372931460585
credit_card,-0.389397539107923,2.59201767691727E-06,0.080995772897479,-0.548891625308215,-0.229903452907632,0.389397539107923
telecom,-0.276175346343236,7.26343686941326E-08,0.049811632262874,-0.374262696901248,-0.178087995785224,0.276175346343236
age_log2,0.26370743404207,9.83554265794184E-06,0.058472160109593,0.148566070348423,0.378848797735718,0.26370743404207
secured_loan_log2,0.199951580393447,2.57321779367636E-05,0.046657637261664,0.108074968156743,0.29182819263015,0.199951580393447
solvency,-0.181319201768805,0.000396973645303,0.050521481878031,-0.280804363739176,-0.081834039798433,0.181319201768805
mailOrder,0.16485658729938,0.159953887627025,0.1169798546752,-0.065496113314761,0.395209287913521,0.16485658729938
business_relation_log2,-0.15276659752569,0.001012473041361,0.045946468198763,-0.243242800138981,-0.062290394912399,0.15276659752569
monthlyIncome,0.133675240835148,0.015856215376885,0.055051506522929,0.025269710364591,0.242080771305705,0.133675240835148
const,-0.12957668860164,0.274244820835011,0.118263458350754,-0.362457017361697,0.103303640158418,0.12957668860164
finance_year_log2,-0.111916764264953,0.028797863925593,0.050905843658359,-0.212158798214327,-0.011674730315579,0.111916764264953
giro_days,0.111902793189927,0.036720398651672,0.053293950743915,0.006958181022783,0.216847405357071,0.111902793189927
global_credit_log2,-0.088999452549263,0.091876575834424,0.052604697184081,-0.192586810346785,0.014587905248259,0.088999452549263
relocation,-0.053014736642863,0.284385060127686,0.04941980536684,-0.150330515173149,0.044301041887424,0.053014736642863
east,-0.036817860793753,0.712810752648333,0.099916165742086,-0.233569332896402,0.159933611308897,0.036817860793753
credit_days_**3,0.032154036640702,0.461517253871146,0.043601742898983,-0.053705013673142,0.118013086954545,0.032154036640702
unsecured_loan,-0.013378059877182,0.80820806559011,0.055056769509704,-0.12179395404002,0.095037834285657,0.013378059877182
identity_**2,0.012521045907134,0.74659588740342,0.038707816949789,-0.063701053992192,0.088743145806459,0.012521045907134
giro_**2,0.011301498475318,0.83712020815833,0.054918856335442,-0.096842821814996,0.119445818765631,0.011301498475318
banking_connection,-0.009678487789914,0.816280729743006,0.041615774386535,-0.091626837313035,0.072269861733207,0.009678487789914
conditions_log2,-0.009357006103107,0.856308017867785,0.051623012285258,-0.111011263810671,0.092297251604457,0.009357006103107
female,-0.002825718442103,0.973526084431183,0.085065095280612,-0.170332974116976,0.164681537232769,0.002825718442103
